Designator,Mid X,Mid Y,Rotation,Layer
BT1,286.15,-99.6,90.0,bottom
C10,124.5,-133.4,180.0,bottom
C11,162.457953,-117.25,180.0,bottom
C12,160.25,-124.5,180.0,bottom
C13,155.25,-114.25,90.0,bottom
C14,89.2,-119.6,0.0,bottom
C15,94.2,-103.5,180.0,bottom
C16,85.5,-111.95,-90.0,bottom
C17,86.0,-109.0,90.0,bottom
C18,94.2,-116.5,180.0,bottom
C19,274.75,-140.25,180.0,bottom
C2,261.5,-114.25,180.0,bottom
C20,302.147349,-185.4,0.0,bottom
C201,299.1,-211.5,180.0,bottom
C202,299.1,-209.5,180.0,bottom
C203,300.35,-206.5,90.0,bottom
C204,300.35,-202.5,-90.0,bottom
C205,299.1375,-199.5,0.0,bottom
C206,299.1375,-197.5,0.0,bottom
C207,299.1375,-195.5,0.0,bottom
C208,294.0,-203.5,90.0,bottom
C209,242.5,-76.2,0.0,bottom
C21,262.5,-138.0,0.0,bottom
C210,252.5,-76.2,0.0,bottom
C22,265.0,-143.097349,-90.0,bottom
C23,200.0,-135.7,-90.0,bottom
C24,124.525,-145.9,180.0,bottom
C25,194.5,-149.6,180.0,bottom
C27,163.5,-133.5,-90.0,bottom
C28,155.25,-143.5,0.0,bottom
C29,160.25,-137.5,180.0,bottom
C3,233.1,-95.275,180.0,bottom
C30,152.0,-138.5,90.0,bottom
C301,207.81,-168.5,180.0,bottom
C31,284.0,-190.347349,-90.0,bottom
C32,221.81,-172.4,90.0,bottom
C33,223.4,-172.4,90.0,bottom
C34,277.25,-164.5,90.0,bottom
C35,286.75,-164.5,90.0,bottom
C36,214.5,-173.75,180.0,bottom
C37,207.81,-165.25,180.0,bottom
C38,270.0,-209.75,0.0,bottom
C39,194.5,-162.1,180.0,bottom
C4,233.1,-108.275,180.0,bottom
C40,114.75,-142.25,90.0,bottom
C41,160.25,-157.5,180.0,bottom
C42,179.5,-209.75,0.0,bottom
C43,227.8,-185.0,0.0,bottom
C44,227.8,-186.6,0.0,bottom
C45,207.25,-177.0,180.0,bottom
C46,211.2,-188.8,-90.0,bottom
C47,213.8,-190.6,-90.0,bottom
C48,208.31,-182.7,90.0,bottom
C49,207.81,-173.25,180.0,bottom
C5,105.3,-104.4,180.0,bottom
C50,208.31,-186.0,-90.0,bottom
C501,189.047349,-132.3,0.0,bottom
C51,237.2,-188.147349,-90.0,bottom
C52,275.25,-172.75,-90.0,bottom
C53,247.0,-203.5,0.0,bottom
C54,139.8875,-203.625,180.0,bottom
C6,273.5,-136.0,90.0,bottom
C7,273.5,-122.75,-90.0,bottom
C8,256.75,-126.5,180.0,bottom
C9,258.5,-133.5,180.0,bottom
D10,141.275,-112.45,180.0,bottom
D11,170.94,-104.0,0.0,bottom
D2,211.275,-82.5,180.0,bottom
D201,274.0,-82.5,-90.0,bottom
D202,298.0,-173.75,90.0,bottom
D3,176.275,-82.5,180.0,bottom
D4,141.275,-82.45,180.0,bottom
D5,107.04,-82.45,180.0,bottom
D6,211.275,-112.5,180.0,bottom
D7,195.4,-99.56,90.0,bottom
D8,178.81,-133.45,180.0,bottom
D9,176.275,-112.5,180.0,bottom
FB1,282.0,-165.0,0.0,bottom
H201,88.75,-204.25,0.0,top
H202,303.0,-82.0,0.0,top
H203,291.1,-221.2,0.0,top
J1,298.8,-90.8,-90.0,top
J10,246.275,-102.595,90.0,bottom
J11,266.525,-120.5,90.0,bottom
J12,125.5,-127.1,0.0,bottom
J13,121.75,-127.1,0.0,bottom
J14,138.6,-140.8,-90.0,bottom
J15,118.0,-127.1,0.0,bottom
J16,305.0,-172.995,-90.0,bottom
J17,193.275,-166.9,90.0,bottom
J18,246.0,-133.75,90.0,bottom
J19,196.75,-181.4,0.0,top
J2,264.3,-90.7,-90.0,top
J201,293.25,-191.75,-90.0,bottom
J202,239.0,-74.925,180.0,bottom
J203,230.25,-158.0,180.0,bottom
J204,274.525,-191.25,90.0,bottom
J3,280.0,-90.8,-90.0,top
J301,230.775,-180.0,90.0,bottom
J302,187.75,-185.25,0.0,top
J4,255.5,-150.725,0.0,top
J5,287.25,-80.515,0.0,bottom
J6,216.925,-81.0,-90.0,bottom
J7,193.525,-78.75,90.0,bottom
J8,156.25,-79.725,180.0,bottom
J9,160.0,-79.705,180.0,bottom
L201,305.35,-204.5,90.0,bottom
LS1,284.0,-134.0,-30.0,top
Q1,215.39,-76.02,90.0,bottom
Q10,155.86,-101.0,-90.0,bottom
Q12,123.8,-105.1,90.0,bottom
Q13,118.8,-105.1,90.0,bottom
Q14,98.36,-107.98,-90.0,bottom
Q15,207.86,-135.23,-90.0,bottom
Q16,212.14,-137.77,90.0,bottom
Q2,180.25,-76.0,90.0,bottom
Q201,278.75,-82.5,0.0,bottom
Q3,270.23,-101.14,0.0,bottom
Q4,259.98,-101.14,0.0,bottom
Q5,225.91,-89.23,-90.0,bottom
Q501,190.24,-110.52,90.0,bottom
Q502,190.24,-116.22,90.0,bottom
Q6,230.66,-89.23,-90.0,bottom
Q7,190.24,-104.875,90.0,bottom
Q9,160.97,-100.98,-90.0,bottom
R10,93.31,-86.25,180.0,bottom
R100,211.0,-203.69,-90.0,bottom
R101,198.81,-201.0,180.0,bottom
R102,176.5,-201.0,180.0,bottom
R103,188.5,-203.69,-90.0,bottom
R104,166.0,-203.69,-90.0,bottom
R105,143.5,-203.69,-90.0,bottom
R106,153.81,-201.0,180.0,bottom
R107,131.5,-201.0,180.0,bottom
R108,121.0,-203.69,-90.0,bottom
R109,98.5,-203.69,-90.0,bottom
R110,108.81,-201.0,180.0,bottom
R111,229.8,-190.39,-90.0,bottom
R112,226.8,-190.39,-90.0,bottom
R113,260.0,-220.81,90.0,bottom
R114,265.0,-213.19,-90.0,bottom
R115,237.5,-220.81,90.0,bottom
R116,220.0,-213.19,-90.0,bottom
R117,242.5,-213.19,-90.0,bottom
R118,215.0,-220.81,90.0,bottom
R119,197.5,-213.19,-90.0,bottom
R120,175.0,-213.19,-90.0,bottom
R121,192.5,-220.81,90.0,bottom
R122,170.0,-220.81,90.0,bottom
R123,152.5,-213.19,-90.0,bottom
R124,147.5,-220.81,90.0,bottom
R125,130.0,-213.19,-90.0,bottom
