"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW4,SW3,SW1";"SW_Toggle_MS500";3;"SW_SPDT";;;
2;"SW2";"SW_Toggle_MS500";1;"SW_SPST";;;
3;"NT5,NT4,NT3,NT2,NT1";"NetTie-2_SMD_Pad0.5mm";5;"NetTie_2";;;
4;"RGB_Pot6,RGB_Pot5,RGB_Pot3,RGB_Pot8,RGB_Pot1,RGB_Pot9,RGB_Pot4,RGB_Pot2,RGB_Pot7";"TC002-N11AS2XT-RGB";9;"TC002-N11AS2XT-RGB";;;
5;"RV17,RV16,RV15,RV2";"Potentiometer_Bourns_3296W_Vertical";4;"100K";;;
6;"LS1";"LSM-50M NO-B";1;"LSM-50M/NO-B 8R (<32R) 1W";;;
7;"SW6";"E-Switch_TL1105SP";1;"SW_Push";;;
8;"RV22,RV19,RV13,RV14,RV3,RV8,RV18,RV20";"Alpha_RD901F";8;"100K";;;
9;"J6";"PinHeader_2x05_P1.27mm_Vertical";1;"JTAG";;;
10;"RV7,RV6,RV10,RV5,RV11";"RV141F-40-20BL";5;"100K";;;
11;"RV1";"Potentiometer_Bourns_3296W_Vertical";1;"1K";;;
12;"J5";"PinHeader_1x06_P2.54mm_Vertical";1;"SWD";;;
13;"RV21";"Alpha_RD901F";1;"10K";;;
14;"RV9,RV4";"RV141F-40-20BL";2;"10K";;;
15;"J3,J1,J2";"Thonkiconn_PJ398SM";3;"PJ398SM";;;
16;"H2,H1,H6,H5";"MountingHole_3.2mm_M3";4;"MountingHole";;;
17;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"IDC";;;
18;"RV12";"Potentiometer_Bourns_3296W_Vertical";1;"100";;;
19;"SW5";"SW_SPST_EVQQ2";1;"SW_Push";;;
20;"C40,C48,C42,C38,C50,C51";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";6;"100n";;;
21;"R46,R16,R25,R27,R35,R48,R15,R45";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";8;"1K";;;
22;"D10,D5,D8,D9,D2,D1";"LED_D5.0mm";6;"LED";;;
23;"R75,R76,R70,R67";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"100";;;
24;"C43,C7,C58,C37,C34,C59,C35,C18,C26,C61,C12,C17,C62,C27,C31,C6,C4,C16,C30,C3";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";20;"100n";;;
25;"R77";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4k7";;;
26;"J14,J13,J9,J16,J15,J19,J11,J18,J22,J17,J10,J8";"PinHeader_1x02_P2.54mm_Vertical";12;"Jumper";;;
27;"R83,R80,R10,R72,R66,R40,R11,R37,R26,R21,R32,R2,R78,R13,R1,R64,R87,R22,R79,R19,R82,R4,R47,R56,R81,R12,R39,R3,R38,R51";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";30;"100K";;;
28;"R42,R31,R36,R24,R54,R33";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"2K";;;
29;"R109,R30,R106,R107,R105,R29,R34,R73,R69,R89,R113,R114,R111,R112,R108,R68,R110";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";17;"10K";;;
30;"R125,R131,R103,R98,R101,R129,R117,R121,R100,R91,R127,R99,R123,R14,R88,R104,R102,R119,R97";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";19;"220";;;
31;"R41";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"6K2";;;
32;"R7,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"20K";;;
33;"U2,U4,U6,U1,U5";"SOIC-14_3.9x8.7mm_P1.27mm";5;"TL074";;;
34;"Q6,Q12,Q15,Q4,Q11,Q5,Q10,Q13,Q7,Q16,Q1,Q2,Q14,Q17";"TO-92_Inline";14;"2N3904";;;
35;"C14,C23,C24";"C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";3;"270n";;;
36;"C1,C9,C41,C19,C2,C33,C32";"C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";7;"1u";;;
37;"D12";"D_SMC_Handsoldering";1;"SS310";;;
38;"R90,R130,R122,R124,R126,R120,R118,R128,R116";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";9;"470";;;
39;"R28,R74,R92,R52,R93";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"4K7";;;
40;"BT1";"BatteryHolder_Eagle_12BH611-GR";1;"9V";;;
41;"R58";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"150K";;;
