Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Eagle_12BH611-GR,1,9V,
"C1, C19, C2, C25, C32, C33, C41, C9",C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,8,1u,
C10,CP_Radial_D8.0mm_P3.50mm,1,33u,
"C11, C8",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,1p,
"C12, C13, C16, C17, C18, C26, C27, C3, C30, C31, C34, C35, C37, C4, C43, C58, C59, C6, C61, C62, C7",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,21,100n,
"C14, C23, C24",C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,3,270n,
"C15, C22, C45, C49",CP_Radial_D8.0mm_P3.50mm,4,10u,
"C20, C5",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,1n,
"C21, C36",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,10n,
C28,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,47p,
C29,CP_Radial_D8.0mm_P3.50mm,1,470u,
"C38, C40, C42, C48, C50, C51",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,6,100n,C282518
"C39, C46",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,2.2u,C268016
"C44, C47",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,26p,C519484
C52,CP_Radial_D8.0mm_P3.50mm,1,22u,
"C53, C54, C55",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,22u,C415296
"C56, C60",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,10u, C96446
C57,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,100n, C1523
"C63, C64",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,10u, C109040
"D1, D10, D2, D5, D8, D9",LED_D5.0mm,6,LED,
"D11, D6, D7",D_DO-35_SOD27_P7.62mm_Horizontal,3,1N4148,
D12,D_SMC_Handsoldering,1,SS310,
D3,LED_D5.0mm-4_RGB,1,LED_RKGB,
D4,D_SOD-123,1,8V2, C438308
FB1,L_0603_1608Metric,1,120R@100MHz,
